Review_id,Rating,Location,Category,Review_len,Sentiment_title,Sentiment_review,Score_title_reliability,Score_review_reliability,Location_Category,Location_Sentiment_title,Location_Sentiment_review,Category_Sentiment_title,Category_Sentiment_review,Sentiment_Score_title_reliability,Sentiment_Score_review_reliability,Location_Sentiment_title_reliability,Location_Sentiment_review_reliability,Category_Sentiment_title_reliability,Category_Sentiment_review_reliability
9479176454,1 star,Ipoh,Mexican,291,sadness,anger,reliable,unreliable,Ipoh_Mexican,Ipoh_sadness,Ipoh_anger,Mexican_sadness,Mexican_anger,sadness_reliable,anger_unreliable,Ipoh_sadness_reliable,Ipoh_anger_unreliable,Mexican_sadness_reliable,Mexican_anger_unreliable
4091810389,4 star,Melaka,Italian,103,anger,joy,unreliable,unreliable,Melaka_Italian,Melaka_anger,Melaka_joy,Italian_anger,Italian_joy,anger_unreliable,joy_unreliable,Melaka_anger_unreliable,Melaka_joy_unreliable,Italian_anger_unreliable,Italian_joy_unreliable
8163808786,5 star,JB,Italian,152,joy,joy,reliable,reliable,JB_Italian,JB_joy,JB_joy,Italian_joy,Italian_joy,joy_reliable,joy_reliable,JB_joy_reliable,JB_joy_reliable,Italian_joy_reliable,Italian_joy_reliable
5014720440,1 star,KL,Mexican,1418,joy,anger,unreliable,reliable,KL_Mexican,KL_joy,KL_anger,Mexican_joy,Mexican_anger,joy_unreliable,anger_reliable,KL_joy_unreliable,KL_anger_reliable,Mexican_joy_unreliable,Mexican_anger_reliable
6466234202,4 star,Shah Alam,Mediterranean,260,anger,joy,unreliable,unreliable,Shah Alam_Mediterranean,Shah Alam_anger,Shah Alam_joy,Mediterranean_anger,Mediterranean_joy,anger_unreliable,joy_unreliable,Shah Alam_anger_unreliable,Shah Alam_joy_unreliable,Mediterranean_anger_unreliable,Mediterranean_joy_unreliable
1896049475,1 star,KL,Fine Dining,2071,anger,anger,reliable,reliable,KL_Fine Dining,KL_anger,KL_anger,Fine Dining_anger,Fine Dining_anger,anger_reliable,anger_reliable,KL_anger_reliable,KL_anger_reliable,Fine Dining_anger_reliable,Fine Dining_anger_reliable
3029910112,2 star,Langkawi,Seafood,365,love,anger,reliable,unreliable,Langkawi_Seafood,Langkawi_love,Langkawi_anger,Seafood_love,Seafood_anger,love_reliable,anger_unreliable,Langkawi_love_reliable,Langkawi_anger_unreliable,Seafood_love_reliable,Seafood_anger_unreliable
5412754138,3 star,KL,Seafood,318,joy,joy,reliable,reliable,KL_Seafood,KL_joy,KL_joy,Seafood_joy,Seafood_joy,joy_reliable,joy_reliable,KL_joy_reliable,KL_joy_reliable,Seafood_joy_reliable,Seafood_joy_reliable
3071752690,4 star,Melaka,Fine Dining,196,joy,joy,unreliable,reliable,Melaka_Fine Dining,Melaka_joy,Melaka_joy,Fine Dining_joy,Fine Dining_joy,joy_unreliable,joy_reliable,Melaka_joy_unreliable,Melaka_joy_reliable,Fine Dining_joy_unreliable,Fine Dining_joy_reliable
5880384312,1 star,KL,Seafood,244,anger,joy,reliable,unreliable,KL_Seafood,KL_anger,KL_joy,Seafood_anger,Seafood_joy,anger_reliable,joy_unreliable,KL_anger_reliable,KL_joy_unreliable,Seafood_anger_reliable,Seafood_joy_unreliable
6653715232,2 star,Melaka,Mediterranean,163,joy,joy,unreliable,reliable,Melaka_Mediterranean,Melaka_joy,Melaka_joy,Mediterranean_joy,Mediterranean_joy,joy_unreliable,joy_reliable,Melaka_joy_unreliable,Melaka_joy_reliable,Mediterranean_joy_unreliable,Mediterranean_joy_reliable
4246908651,2 star,KL,Mediterranean,441,sadness,anger,reliable,reliable,KL_Mediterranean,KL_sadness,KL_anger,Mediterranean_sadness,Mediterranean_anger,sadness_reliable,anger_reliable,KL_sadness_reliable,KL_anger_reliable,Mediterranean_sadness_reliable,Mediterranean_anger_reliable
4791293376,2 star,KL,Italian,1045,joy,joy,unreliable,unreliable,KL_Italian,KL_joy,KL_joy,Italian_joy,Italian_joy,joy_unreliable,joy_unreliable,KL_joy_unreliable,KL_joy_unreliable,Italian_joy_unreliable,Italian_joy_unreliable
6697300935,5 star,KL,Fine Dining,121,joy,joy,reliable,reliable,KL_Fine Dining,KL_joy,KL_joy,Fine Dining_joy,Fine Dining_joy,joy_reliable,joy_reliable,KL_joy_reliable,KL_joy_reliable,Fine Dining_joy_reliable,Fine Dining_joy_reliable
